worker_bbox,author,author_id,img_name,weight,cluster,category,sam_conf,sam_bbox
[ 50.  72. 174. 205.],yonghao,9,000000169076.jpg,,,人person,0.9603478,[ 54.  74. 171. 202.]
[147. 111. 250. 208.],yonghao,9,000000169076.jpg,,,人person,0.8838353,[155. 110. 244. 204.]
[240. 290. 591. 507.],yonghao,9,000000169076.jpg,,,狗dog,0.9323123,[251. 294. 590. 498.]
[228. 288. 591. 582.],czhangcn,11,000000169076.jpg,,,狗dog,0.97370344,[224. 295. 590. 590.]
[ 48.  70. 141. 212.],czhangcn,11,000000169076.jpg,,,人person,0.88239956,[ 54.  74. 140. 202.]
[143. 103. 249. 213.],czhangcn,11,000000169076.jpg,,,人person,0.8870394,[155. 110. 244. 204.]
[ 51.  72. 175. 205.],gujiale,8,000000169076.jpg,,,人person,0.960703,[ 54.  74. 171. 202.]
[148. 111. 251. 206.],gujiale,8,000000169076.jpg,,,人person,0.86344945,[155. 110. 244. 204.]
[ 50.  70. 174. 203.],guo,12,000000169076.jpg,,,人person,0.9586558,[ 54.  74. 171. 202.]
[149. 109. 257. 201.],guo,12,000000169076.jpg,,,人person,0.8616911,[153. 108. 262. 207.]
[211. 289. 590. 594.],guo,12,000000169076.jpg,,,狗dog,0.97599155,[224. 295. 590. 590.]
[246. 283. 590. 535.],mcaloma,13,000000169076.jpg,,,狗dog,0.9138392,[252. 295. 590. 535.]
[143. 105. 249. 210.],mcaloma,13,000000169076.jpg,,,人person,0.8918751,[155. 110. 244. 204.]
[ 49.  73. 173. 208.],mcaloma,13,000000169076.jpg,,,人person,0.9601794,[ 54.  74. 171. 202.]
[244. 286. 592. 506.],qwjone1,14,000000169076.jpg,,,狗dog,0.93254155,[251. 294. 590. 498.]
[ 51.  76. 173. 204.],qwjone1,14,000000169076.jpg,,,人person,0.9649114,[ 54.  74. 171. 202.]
[150. 109. 228. 202.],qwjone1,14,000000169076.jpg,,,人person,0.88835937,[155. 110. 227. 204.]
[ 49.  72. 175. 205.],wuyang,15,000000169076.jpg,,,人person,0.95972604,[ 54.  74. 171. 202.]
[152. 111. 245. 207.],wuyang,15,000000169076.jpg,,,人person,0.9075187,[155. 110. 243. 204.]
[220. 289. 592. 593.],wuyang,15,000000169076.jpg,,,狗dog,0.974632,[224. 295. 590. 590.]
[230. 291. 592. 575.],Wenshuo ZHANG,16,000000169076.jpg,,,狗dog,0.97169554,[224. 295. 590. 590.]
[153. 126. 189. 158.],kenan,17,000000169076.jpg,,,人person,0.92478895,[155. 125. 189. 166.]
